,0.0,0.002,0.004,0.006,0.008
156,61.521371532466375,80.15842832231826,95.02485185305333,107.51074923928488,118.33840825881106
405,0.0,0.0,0.0,0.0,0.0
738,56.91086257371796,77.73704481487619,93.5286392741841,106.40551137298517,117.40136160308599
1276,56.86532387439521,77.70108465624959,93.54336151859114,106.41130561892936,117.39545076116995
1846,56.95356933972684,77.71529826572629,93.55991607049307,106.41929734714199,117.39864298463601
2576,57.05316198283446,77.72773493015183,93.56402421011605,106.417560009543,117.39540024311736
3403,57.13405732463773,77.73776365175276,93.56696650429197,106.41723337885408,117.39423691345411
4380,57.30523373816057,77.74469515474529,93.57411318410355,106.42031524777121,117.39586048298084
5259,57.40129553811167,77.74114138209012,93.57522937721987,106.42041331057673,117.39578420156248
6486,57.49549721414697,77.73549309456227,93.57618043904945,106.42063769607445,117.39602851347131
